"fips"|"lar_count"
"20101"|14
"20103"|3640
"20105"|35
"20107"|323
"20109"|41
"20111"|660
"20113"|714
"20115"|264
"20117"|177
"20119"|85
"20121"|1709
"20123"|69
"20125"|1020
"20127"|166
"20129"|29
"20131"|318
"20133"|292
"20135"|16
"20137"|34
"20139"|588
"20141"|51
"20143"|140
"20145"|149
"20147"|71
"20149"|1144
"20151"|188
"20153"|38
"20155"|1949
"20157"|50
"20159"|150
"20161"|2188
"20163"|48
"20165"|64
"20167"|139
"20169"|1185
"20171"|76
"20173"|21044
"20175"|389
"20177"|6378
"20179"|50
"20181"|100
"20183"|39
"20185"|60
"20187"|20
"20189"|94
"20191"|819
"20193"|178
"20195"|30
"20197"|302
"20199"|21
"20201"|84
"20203"|31
"20205"|196
"20207"|74
"20209"|5584
"21001"|303
"21003"|875
"21005"|1009
"21007"|211
"21009"|1602
"21011"|281
"21013"|627
"21015"|7028
"21017"|706
"21019"|1838
"21021"|897
"21023"|368
"21025"|244
"21027"|691
"21029"|4562
"21031"|433
"21033"|392
"21035"|936
"21037"|4583
"21039"|77
"21041"|355
"21043"|584
"21045"|285
"21047"|1995
"21049"|1598
"21051"|380
"21053"|127
"21055"|231
"21057"|127
"21059"|4061
"21061"|530
"21063"|87
"21065"|328
"21067"|13457
"21069"|382
"21071"|892
"21073"|2014
"21075"|104
"21077"|349
"21079"|709
"21081"|1126
"21083"|966
"21085"|1018
"21087"|281
"21089"|1468
"21091"|310
"21093"|5004
"21095"|519
"21097"|602
"21099"|577
"21101"|1629
"21103"|659
"21105"|69
"21107"|1492
"21109"|245
"21111"|34211
"21113"|2404
"21115"|684
"21117"|8153
"21119"|256
"21121"|804
"21123"|647
"21125"|2119
"21127"|396
"21129"|121
"21131"|151
"21133"|480
"21135"|319
"21137"|750
"21139"|276
"21141"|897
"21143"|293
"21145"|2021
"21147"|490
"21149"|327
"21151"|3677
"21153"|218
"21155"|550
"21157"|1054
"21159"|159
"21161"|459
"21163"|1439
"21165"|250
"21167"|856
"21169"|305
"21171"|301
"21173"|1125
"21175"|153
"21177"|1121
"21179"|2200
"21181"|216
"21183"|754
"21185"|3477
"21187"|386
"21189"|62
"21191"|504
"21193"|435
"21195"|1516
"21197"|414
"21199"|1732
"21201"|79
"21203"|382
"21205"|580
"21207"|432
"21209"|3522
"21211"|2386
"21213"|843
"21215"|1086
"21217"|540
"21219"|294
"21221"|591
"21223"|405
"21225"|242
"21227"|5294
"21229"|289
"21231"|521
"21233"|304
"21235"|1178
"21237"|213
"21239"|1158
"22001"|1805
"22003"|589
"22005"|6817
"22007"|691
"22009"|1153
"22011"|1736
"22013"|379
"22015"|5844
"22017"|8405
"22019"|8510
"22021"|295
"22023"|216
"22025"|223
"22027"|387
"22029"|363
"22031"|1064
"22033"|16256
"22035"|85
"22037"|726
"22039"|758
"22041"|352
"22043"|758
"22045"|1972
"22047"|1127
"22049"|391
"22051"|14795
"22053"|1137
"22055"|9861
"22057"|3496
"22059"|559
"22061"|1557
"22063"|6855
"22065"|179
"22067"|716
"22069"|1153
"22071"|13875
"22073"|5983
"22075"|656
"22077"|747
"22079"|4504
"22081"|193
"22083"|639
"22085"|809
"22087"|1576
"22089"|2185
"22091"|369
"22093"|727
"22095"|1647
"22097"|2454
"22099"|1954
"22101"|1168
"22103"|12835
"22105"|5414
"22107"|95
"22109"|3576
"22111"|965
"22113"|1846
"22115"|1611
"22117"|1496
"22119"|1306
"22121"|1291
"22123"|273
"22125"|390
"22127"|296
"23001"|4458
"23003"|1300
"23005"|15657
"23007"|940
"23009"|2241
"23011"|3726
"23013"|1681
"23015"|1573
"23017"|2331
"23019"|5445
"23021"|605
"23023"|1687
"23025"|1567
"23027"|1471
"23029"|933
"23031"|12557
"24001"|2028
"24003"|34219
"24005"|36918
"24009"|6196
"24011"|1456
"24013"|8780
"24015"|5099
"24017"|12305
"24019"|1215
"24021"|15686
"24023"|1546
"24025"|13455
"24027"|15887
"24029"|954
"24031"|44692
"24033"|52828
"24035"|3319
"24037"|5874
"24039"|724
"24041"|1888
"24043"|6127
"24045"|3742
"24047"|4975
"24510"|21833
"25001"|14533
"25003"|4611
"25005"|23007
"25007"|1294
"25009"|35460
"25011"|2643
"25013"|16150
"25015"|5396
"25017"|60473
"25019"|922
"25021"|30048
"25023"|27728
"25025"|23972
"25027"|35995
"26001"|407
"26003"|218
"26005"|5961
"26007"|478
"26009"|1113
"26011"|558
"26013"|123
"26015"|3304
"26017"|3798
"26019"|767
"26021"|6570
"26023"|1468
"26025"|5420
"26027"|2293
"26029"|1239
"26031"|839
"26033"|534
"26035"|1303
"26037"|3616
"26039"|553
"26041"|432
"26043"|462
"26045"|5347
"26047"|1427
"26049"|16585
"26051"|1288
"26053"|347
"26055"|3672
"26057"|1173
"26059"|1723
"26061"|497
"26063"|944
"26065"|10974
"26067"|2701
"26069"|927
"26071"|411
"26073"|1889
"26075"|7107
"26077"|11170
"26079"|710
"26081"|31083
"26083"|70
"26085"|462
"26087"|4774
"26089"|1124
"26091"|4309
"26093"|12406
"26095"|117
"26097"|304
"26099"|44741
"26101"|771
"26103"|1562
"26105"|996
"26107"|1734
"26109"|546
"26111"|3540
"26113"|611
"26115"|7575
"26117"|3160
"26119"|395
"26121"|7879
"26123"|2187
"26125"|68802
"26127"|1069
"26129"|807
"26131"|112
"26133"|772
"26135"|307
"26137"|1114
"26139"|14060
"26141"|322
"26143"|1490
"26145"|5863
"26147"|7999
"26149"|2446
"26151"|1333
"26153"|188
"26155"|3112
"26157"|1752
"26159"|3420
"26161"|16163
"26163"|56778
"26165"|1321
"27001"|962
