"concat"|"count"
"20101"|14
"20103"|3052
"20105"|12
"20107"|261
"20109"|37
"20111"|536
"20113"|557
"20115"|203
"20117"|102
"20119"|81
"20121"|1538
"20123"|59
"20125"|957
"20127"|83
"20129"|29
"20131"|91
"20133"|281
"20135"|13
"20137"|33
"20139"|464
"20141"|41
"20143"|58
"20145"|129
"20147"|69
"20149"|838
"20151"|180
"20153"|38
"20155"|1539
"20157"|31
"20159"|138
"20161"|1951
"20163"|48
"20165"|53
"20167"|105
"20169"|1017
"20171"|73
"20173"|18894
"20175"|388
"20177"|5326
"20179"|49
"20181"|92
"20183"|38
"20185"|56
"20187"|20
"20189"|94
"20191"|599
"20193"|178
"20195"|30
"20197"|194
"20199"|12
"20201"|34
"20203"|30
"20205"|188
"20207"|47
"20209"|5263
"21001"|300
"21003"|749
"21005"|981
"21007"|199
"21009"|1459
"21011"|278
"21013"|465
"21015"|6880
"21017"|685
"21019"|1499
"21021"|887
"21023"|261
"21025"|243
"21027"|635
"21029"|4407
"21031"|238
"21033"|351
"21035"|846
"21037"|4457
"21039"|68
"21041"|322
"21043"|544
"21045"|257
"21047"|1624
"21049"|1486
"21051"|379
"21053"|105
"21055"|139
"21057"|123
"21059"|4008
"21061"|406
"21063"|84
"21065"|324
"21067"|12725
"21069"|372
"21071"|892
"21073"|1975
"21075"|94
"21077"|343
"21079"|679
"21081"|1100
"21083"|801
"21085"|896
"21087"|256
"21089"|1172
"21091"|282
"21093"|4597
"21095"|400
"21097"|564
"21099"|464
"21101"|1441
"21103"|574
"21105"|61
"21107"|1365
"21109"|241
"21111"|33110
"21113"|2222
"21115"|680
"21117"|7914
"21119"|256
"21121"|737
"21123"|503
"21125"|2029
"21127"|360
"21129"|119
"21131"|147
"21133"|474
"21135"|228
"21137"|748
"21139"|244
"21141"|841
"21143"|267
"21145"|1908
"21147"|297
"21149"|267
"21151"|3587
"21153"|216
"21155"|540
"21157"|995
"21159"|158
"21161"|404
"21163"|1181
"21165"|249
"21167"|844
"21169"|290
"21171"|288
"21173"|1107
"21175"|152
"21177"|1023
"21179"|1827
"21181"|187
"21183"|660
"21185"|3380
"21187"|378
"21189"|62
"21191"|487
"21193"|430
"21195"|1506
"21197"|406
"21199"|1577
"21201"|66
"21203"|379
"21205"|576
"21207"|396
"21209"|3484
"21211"|2324
"21213"|699
"21215"|997
"21217"|533
"21219"|236
"21221"|462
"21223"|277
"21225"|234
"21227"|4527
"21229"|276
"21231"|381
"21233"|281
"21235"|1086
"21237"|212
"21239"|1082
"22001"|1373
"22003"|523
"22005"|6437
"22007"|648
"22009"|766
"22011"|1553
"22013"|276
"22015"|5458
"22017"|7725
"22019"|7858
"22021"|163
"22023"|200
"22025"|136
"22027"|312
"22029"|341
"22031"|948
"22033"|14967
"22035"|73
"22037"|555
"22039"|693
"22041"|297
"22043"|624
"22045"|1632
"22047"|910
"22049"|353
"22051"|13811
"22053"|966
"22055"|8903
"22057"|2882
"22059"|292
"22061"|1367
"22063"|6356
"22065"|112
"22067"|634
"22069"|1052
"22071"|12889
"22073"|5031
"22075"|621
"22077"|524
"22079"|4084
"22081"|184
"22083"|492
"22085"|745
"22087"|1543
"22089"|2052
"22091"|329
"22093"|703
"22095"|1544
"22097"|2056
"22099"|1589
"22101"|1020
"22103"|12138
"22105"|4891
"22107"|71
"22109"|3121
"22111"|729
"22113"|1228
"22115"|1384
"22117"|1109
"22119"|1014
"22121"|1156
"22123"|212
"22125"|317
"22127"|275
"23001"|3547
"23003"|1115
"23005"|13565
"23007"|829
"23009"|2087
"23011"|3424
"23013"|1633
"23015"|1445
"23017"|2010
"23019"|4864
"23021"|526
"23023"|1481
"23025"|1291
"23027"|1351
"23029"|877
"23031"|11013
"24001"|1768
"24003"|33438
"24005"|35662
"24009"|6088
"24011"|1379
"24013"|8532
"24015"|5011
"24017"|12082
"24019"|1126
"24021"|15296
"24023"|1478
"24025"|12832
"24027"|15548
"24029"|870
"24031"|43650
"24033"|51970
"24035"|3115
"24037"|5707
"24039"|647
"24041"|1741
"24043"|5846
"24045"|3367
"24047"|4507
"24510"|20882
"25001"|13581
"25003"|4075
"25005"|20917
"25007"|1040
"25009"|32325
"25011"|2238
"25013"|14263
"25015"|4871
"25017"|54676
"25019"|893
"25021"|27221
"25023"|25879
"25025"|21975
"25027"|29992
"26001"|397
"26003"|216
"26005"|5759
"26007"|471
"26009"|1091
"26011"|491
"26013"|122
"26015"|2935
"26017"|3103
"26019"|753
"26021"|6295
"26023"|1271
"26025"|4744
"26027"|2145
"26029"|1224
"26031"|814
"26033"|525
"26035"|1281
"26037"|3442
"26039"|539
"26041"|431
"26043"|457
"26045"|4991
"26047"|1359
"26049"|16307
"26051"|1258
"26053"|337
"26055"|3622
"26057"|1082
"26059"|1523
"26061"|492
"26063"|724
"26065"|10668
"26067"|2331
"26069"|898
"26071"|405
"26073"|1852
"26075"|6606
"26077"|10660
"26079"|696
"26081"|29874
"26083"|70
"26085"|421
"26087"|4494
"26089"|1101
"26091"|4250
"26093"|12159
"26095"|117
"26097"|294
"26099"|43200
"26101"|731
"26103"|1552
"26105"|844
"26107"|1580
"26109"|445
"26111"|3442
"26113"|599
"26115"|7231
"26117"|2589
"26119"|380
"26121"|7390
"26123"|1920
"26125"|67303
"26127"|863
"26129"|777
"26131"|112
"26133"|726
"26135"|298
"26137"|1105
"26139"|13380
"26141"|316
"26143"|1448
"26145"|4996
"26147"|7669
"26149"|2135
"26151"|1128
"26153"|183
"26155"|3057
"26157"|1565
"26159"|3224
"26161"|15377
"26163"|54876
"26165"|1295
"27001"|861
"27003"|21095
"27005"|1266
"27007"|885
"27009"|1426
"27011"|122
"27013"|1875
"27015"|582
"27017"|1524
"27019"|6047
"27021"|1364
"27023"|236
"27025"|3264
"27027"|2802
"27029"|123
"27031"|185
"27033"|265
"27035"|3061
"27037"|23667
"27039"|996
"27041"|1468
"27043"|285
"27045"|674
"27047"|857
"27049"|1718
"27051"|181
"27053"|60046
"27055"|518
"27057"|688
"27059"|2531
"27061"|1680
"27063"|194
"27065"|676
"27067"|1064
"27069"|62
"27071"|279
"27073"|130
"27075"|334
"27077"|107
"27079"|1165
"27081"|153
"27083"|639
"27085"|1376
"27087"|79
"27089"|215
"27091"|438
"27093"|779
"27095"|1278
"27097"|1150
"27099"|1241
"27101"|202
"27103"|981
"27105"|351
"27107"|171
"27109"|6907
"27111"|2278
"27113"|299
"27115"|1385
"27117"|153
"27119"|952
"27121"|401
"27123"|22142
"27125"|52
"27127"|345
"27129"|267
"27131"|2335
"27133"|305
"27135"|297
"27137"|7147
"27139"|8324
"27141"|5929
"27143"|526
"27145"|5195
"27147"|1394
"27149"|167
"27151"|163
"27153"|727
"27155"|58
"27157"|639
"27159"|335
"27161"|522
"27163"|14863
